income,guests,days_to_stay,days_to_vacation
6747.189005876934,6.0,7.0,90.23010418613325
6954.407132347708,4.0,7.0,69.05783879748127
7089.032079474146,6.0,8.0,88.85097899618884
9120.070578867122,3.0,7.0,58.92418852691958
9388.651187713098,3.0,15.0,110.18749708122238
10780.058668714784,4.0,8.0,73.98470876290186
7862.773819636428,3.0,11.0,103.80610446327461
15142.134872242474,7.0,7.0,101.53088425515219
8953.960044754236,3.0,8.0,71.17816905781545
9918.020474722292,5.0,11.0,109.47246211399796
5372.115584376037,7.0,6.0,95.76284405147874
6331.440079051519,6.0,6.0,75.55898147304636
11142.357856474826,7.0,7.0,96.10648647743136
4534.678244895433,7.0,6.0,85.47458374900337
8384.53597576314,3.0,6.0,54.44314513884457
11368.615530932559,5.0,2.0,29.944869370125332
7296.657255342496,3.0,9.0,68.9806097769887
5390.7020463024155,4.0,7.0,66.34404417969047
8007.664637190084,5.0,11.0,100.08638720492891
3000.0,4.0,6.0,63.94857729053573
5649.571775768752,3.0,7.0,46.684117936116536
8855.47034888226,4.0,6.0,68.5713261381462
6740.867533147676,5.0,7.0,76.19256816115471
3861.9963775910137,7.0,6.0,89.93970384319312
9132.138556449194,3.0,5.0,44.7311338159492
5728.519905006024,6.0,5.0,73.48124691910675
8925.385418681895,3.0,13.0,102.29542378200111
7786.390009324724,5.0,8.0,84.70195397605134
12613.654116692422,4.0,8.0,81.90045511379023
5044.426276973348,5.0,7.0,79.84738027353822
5582.417306719648,7.0,6.0,85.52519586281248
7411.03195524019,5.0,9.0,92.06611426667011
9867.082540486175,7.0,6.0,97.56083307387722
9266.267598102406,6.0,9.0,100.86541342153399
7410.926351954105,5.0,6.0,67.79212791930601
5764.41837544097,4.0,6.0,66.75080959087006
11336.997609745467,4.0,8.0,79.98304303213185
7285.18907357593,7.0,5.0,79.30744770031797
13690.793504489511,6.0,4.0,57.39549847330877
8204.836292793152,7.0,9.0,106.8962544664125
10231.181459638621,5.0,9.0,90.38302859858368
6533.882065334983,7.0,3.0,64.22322665279512
9092.092281408388,6.0,4.0,67.02930749044842
8050.857056060512,4.0,11.0,92.52107407204772
5840.564967066184,4.0,4.0,50.89025952191286
4687.711168502409,6.0,7.0,82.15773841030351
12290.227669986278,5.0,9.0,96.29449580272103
11534.235391542912,5.0,5.0,53.47730577710189
5083.315200717874,7.0,5.0,80.48649448936989
10592.662520969086,7.0,6.0,91.00071380657084
10960.024625645136,7.0,5.0,71.91180800126533
7225.107154098219,3.0,3.0,32.10337258164357
7144.439732216869,3.0,8.0,35.663676063987786
5235.193115538374,4.0,5.0,56.11650700983529
10039.405384356834,3.0,7.0,61.52525212514348
7566.046986732937,3.0,7.0,60.37741702662989
8898.841680974429,3.0,8.0,51.63228351982207
6552.078701728552,4.0,5.0,48.53190015345191
8147.0226432937925,3.0,11.0,88.86298702100136
5944.796767383406,7.0,7.0,98.31921591856721
5298.325021413604,7.0,4.0,67.1911596682636
9100.306540903493,4.0,11.0,93.94295746562264
4560.655668872027,3.0,4.0,1.3948385530986371
3178.267405452839,6.0,6.0,75.22669584867782
7608.190583710761,6.0,5.0,66.21597379634866
3682.0532255631288,6.0,5.0,65.35043873027793
8363.871036120816,3.0,8.0,41.96638609713241
8043.449677773928,7.0,5.0,69.99367957081655
11714.898616824505,3.0,6.0,49.665291496766855
9382.25424840957,6.0,9.0,101.61399728653092
6648.585776092287,4.0,9.0,86.40131969693614
7964.3946745838375,7.0,6.0,103.1044543444556
10968.561063899346,4.0,6.0,54.161971082180074
9358.006922582807,4.0,7.0,67.5615388511019
7877.609702340538,6.0,8.0,88.01337098463704
10513.184963932405,6.0,4.0,53.595688145783726
6347.472586931317,5.0,7.0,77.24725726156231
11524.075679254562,4.0,5.0,58.73674582416134
3213.430232292885,3.0,8.0,62.08832897814671
6163.033313716337,5.0,9.0,96.566458503654
13716.453136397573,3.0,11.0,93.90537274716114
8259.407063520795,7.0,4.0,78.46287236826313
7854.2995082412735,6.0,6.0,78.52075777517783
8024.011887457917,5.0,8.0,91.78297521509096
4388.699611240938,5.0,7.0,70.13927019701417
7939.842527333875,5.0,6.0,62.136166599897685
9174.964985332423,3.0,6.0,35.205805968676046
9592.881055795599,7.0,4.0,100.11540829457545
7751.275095924272,5.0,7.0,71.9708992503482
6820.869607590767,4.0,5.0,54.86255230465244
8852.137871757604,4.0,7.0,61.77249791450379
3283.2182279730514,5.0,10.0,104.47078032889456
9740.379048097318,6.0,5.0,63.431977476596366
11430.629517010397,4.0,9.0,79.94129643091506
3000.0,7.0,7.0,125.05120277372339
9695.057518529391,4.0,8.0,73.15143417247894
4529.867107296093,4.0,7.0,63.45263924979554
5630.663238070285,5.0,10.0,98.13692734303177
6335.308028269092,5.0,4.0,53.879876102047135
7385.493013163773,7.0,4.0,76.09719931742008
12680.104382898455,3.0,12.0,90.85673032939917
4948.864362035381,3.0,8.0,59.28516890279196
3921.21147522949,6.0,3.0,39.918018706616266
9955.725302335653,6.0,9.0,91.6871289061653
10188.2978838851,6.0,7.0,88.86009163437554
10040.311521057785,6.0,7.0,88.94005586587457
5291.0025288983925,6.0,5.0,65.25684328965315
5158.503191265876,3.0,8.0,58.297954184177016
6867.454341188852,4.0,10.0,85.62867880535536
7217.671728408523,5.0,7.0,75.77524915984975
7612.68028685785,7.0,3.0,73.778632246937
6885.595621632028,5.0,6.0,64.18370460104613
7685.5983160104015,3.0,9.0,71.32476528195001
6258.544478971331,4.0,3.0,25.26354252373531
7296.478368503747,6.0,11.0,112.97578623077908
9576.677105426352,3.0,8.0,61.524843839074364
6210.55004176747,3.0,7.0,53.67172043680672
6574.381016432562,4.0,7.0,62.192954429147505
8524.358466543548,7.0,8.0,115.11851069708285
8748.136670774595,7.0,8.0,106.39144125196984
9125.669766686106,5.0,6.0,69.06337599521193
6851.968532040487,5.0,5.0,45.79146059978711
12323.517905769902,7.0,4.0,81.05842833004448
4590.508916948601,6.0,10.0,107.20965531987619
6892.599714065269,5.0,6.0,80.59930346610827
7464.593384653618,7.0,7.0,89.01606789958227
5255.559086199704,6.0,5.0,66.1745668036787
12553.893992842564,6.0,5.0,69.20024908780604
9572.168665692225,3.0,11.0,76.13436452942894
6531.251926397013,6.0,4.0,46.96362563660476
7043.6383890323195,6.0,6.0,83.74496719991501
7508.565875420961,7.0,6.0,100.03059267184389
10408.497998909263,4.0,12.0,106.56910422456637
10595.003704076287,5.0,9.0,99.45606327172828
7899.568286552067,7.0,7.0,117.61520342305857
8553.787649796825,3.0,11.0,94.60414610505488
9547.085494094465,7.0,4.0,106.22275051200648
9395.085260078227,7.0,5.0,87.38126929982514
9781.771576844918,6.0,10.0,98.58218992834045
7248.2603155214165,4.0,3.0,30.366465285603766
10533.262285780842,5.0,11.0,97.06849064510627
11402.416233015276,7.0,8.0,111.25655883293912
9196.43485869849,4.0,7.0,68.03144198437185
10277.111327505916,5.0,9.0,89.8912430006163
5806.299847646846,4.0,7.0,63.27517228437888
7756.256112085541,5.0,10.0,90.1513717596623
10240.095382725269,7.0,8.0,107.75732580684831
9487.316854839233,3.0,5.0,36.090795636966334
3000.0,7.0,6.0,107.60032461142048
5913.40831582751,3.0,7.0,47.920592056932016
10485.642230156534,5.0,8.0,74.3098111946081
8836.153444383413,7.0,4.0,66.10884667151693
12219.615009480203,3.0,5.0,49.24925062720022
3654.569678353967,6.0,8.0,88.36810034102615
3289.072847487145,6.0,5.0,73.99723148742989
11025.468878737884,5.0,11.0,110.56853908953339
5960.992751122283,7.0,6.0,81.73613416385842
10305.79645558844,4.0,7.0,70.13477897884033
7264.159606183469,6.0,4.0,62.319292613036964
7459.280528954852,5.0,7.0,72.58416156823597
13610.675349993773,4.0,9.0,86.69126708580865
5148.363718434909,5.0,4.0,49.69384635552537
6975.840005736754,7.0,7.0,88.93461783077483
4596.745963362862,4.0,11.0,95.83398897001902
10033.106063365476,4.0,7.0,63.39012698587139
4971.660847646188,3.0,8.0,62.98164912588009
5898.2311673338645,4.0,6.0,59.96156816087777
9823.143389799561,4.0,7.0,71.78444073527449
8834.706599762978,7.0,8.0,103.42797410238651
7076.5616534479295,5.0,7.0,72.59022520139166
14435.799756981023,4.0,11.0,97.40368855787123
8614.299889727745,3.0,5.0,34.51064266133355
7120.130398997946,7.0,9.0,103.1308152088179
8472.809623506133,7.0,5.0,75.98160992404647
4179.50749449211,6.0,5.0,71.47511614926566
6858.187107577231,4.0,5.0,50.24064155231879
7589.140702558058,5.0,9.0,89.05613441990667
9953.104718306005,3.0,7.0,55.174872967746694
